NEWLY BUILT RESIDENTIAL BUILDINGS COMPLETED BY STRUCTURE OF BUILDING AND BY  STATISICAL ZONES, STATISTICAL REGIONS AND BY DISTRICTS IN THE SECOND QUARTER OF 2016*;;;;;
;;;;;
;;;;;
;;;;;(Number)
"Statistical zones
Statistical regions
Districts";Total;Panel;Steel-concrete;Solid structure;Others
Total;521;1;360;147;13
North and South-East Bulgaria;292;-;196;87;9
North-West region;35;-;16;19;-
Vidin;2;-;1;1;-
Vratsa;7;-;6;1;-
Lovech;11;-;7;4;-
Montana;2;-;1;1;-
Pleven;13;-;1;12;-
North Central region;39;-;24;13;2
Veliko Tarnovo;9;-;5;3;1
Gabrovo;13;-;9;3;1
Razgrad;4;-;4;-;-
Ruse;10;-;4;6;-
Silistra;3;-;2;1;-
North-East region;109;-;73;35;1
Varna;79;-;59;20;-
Dobrich;22;-;9;12;1
Targovishte;5;-;3;2;-
Shumen;3;-;2;1;-
South-East region;109;-;83;20;6
Burgas;80;-;70;7;3
Sliven;13;-;3;10;-
Stara Zagora;11;-;6;3;2
Yambol;5;-;4;-;1
" South-West and
 South Central Bulgaria";229;1;164;60;4
South-West region;99;1;58;37;3
Blagoevgrad;6;1;3;2;-
Kyustendil;3;-;1;1;1
Pernik;18;-;14;3;1
Sofia;39;-;16;23;-
Sofia (stolitsa);33;-;24;8;1
South Central region;130;-;106;23;1
Kardzhali;10;-;5;5;-
Pazardzhik;16;-;14;2;-
Plovdiv;81;-;69;11;1
Smolyan;8;-;8;-;-
Haskovo;15;-;10;5;-
