"time","B1GQ","P3"
1995-01-01,4957.5,4688.9
1995-04-01,6075.2,5612
1995-07-01,7419.5,6772.6
1995-10-01,8776.3,7668.6
1996-01-01,6182,5309.6
1996-04-01,6594.9,5691.8
1996-07-01,7737.5,5928.1
1996-10-01,8131.4,7257.2
1997-01-01,5174.8,3125.3
1997-04-01,5407.9,3795.6
1997-07-01,6941.2,4275.2
1997-10-01,7078.3,5266.9
1998-01-01,5695.2,3450.3
1998-04-01,5513.6,3869.2
1998-07-01,7062,4514.2
1998-10-01,7263.7,5379.4
1999-01-01,5166.6,4132.8
1999-04-01,5184.1,4041.4
1999-07-01,6582.1,4679.9
1999-10-01,6457.8,5010.1
2000-01-01,5278.5,4377.9
2000-04-01,5618.4,4567.5
2000-07-01,6768.2,4989.6
2000-10-01,6798.4,5256.5
2001-01-01,5460,4913.1
2001-04-01,5810,4789.9
2001-07-01,7044.6,5186.8
2001-10-01,7084.5,5480.5
2002-01-01,5754.2,5007.6
2002-04-01,6171,4894.6
2002-07-01,7459.8,5358.3
2002-10-01,7505.5,6036.5
2003-01-01,6075.6,5340.3
2003-04-01,6492.3,5373.6
2003-07-01,7744.7,5585.4
2003-10-01,7986.2,6454.2
2004-01-01,6369.7,5640.8
2004-04-01,6961.5,5810.6
2004-07-01,8344.5,6020.3
2004-10-01,8465.4,7193.3
2005-01-01,6875.1,6252.2
2005-04-01,7526.3,6045.3
2005-07-01,8816,6349.2
2005-10-01,9050.6,7464.9
2006-01-01,7226.6,6485.3
2006-04-01,8063.9,6621.2
2006-07-01,9429.6,6888
2006-10-01,9742.9,8186.7
2007-01-01,7706.9,7060.8
2007-04-01,8754.4,7218.8
2007-07-01,9917.6,7489.4
2007-10-01,10377.4,8898.5
2008-01-01,8296.7,7590
2008-04-01,9361.8,7458.5
2008-07-01,10603,7674.2
2008-10-01,10747.7,8919.6
2009-01-01,8104.1,7078.8
2009-04-01,9164.7,7342.4
2009-07-01,10320.1,7413.8
2009-10-01,10114.7,8353.1
2010-01-01,7834,7045.1
2010-04-01,9434.3,7649.9
2010-07-01,10402.9,7454.4
2010-10-01,10613.7,8737.1
2011-01-01,7988.7,7037.1
2011-04-01,9799.1,7823.8
2011-07-01,10686.1,7725.5
2011-10-01,10615.5,8939.8
2012-01-01,8162.8,7263.8
2012-04-01,9773.3,7998.9
2012-07-01,10758.4,7909.2
2012-10-01,10690,9177.9
2013-01-01,8016.8,7084.9
2013-04-01,9579.3,7684.7
2013-07-01,10749.1,7686.1
2013-10-01,10818.5,8921.9
2014-01-01,8013.6,7382.1
2014-04-01,9693.6,7852.9
2014-07-01,10798,7681.6
2014-10-01,11037.2,8798.2
2015-01-01,8300.3,7232.1
2015-04-01,9970.7,7972.7
2015-07-01,11193.4,8031
2015-10-01,11433.5,9305.5
2016-01-01,8573.9,7512.4
2016-04-01,10330,7964.7
2016-07-01,11423.6,8038.3
2016-10-01,11813.6,9747.3
2017-01-01,8811.8,7655.9
2017-04-01,10615.7,8177.3
2017-07-01,11786.7,8338.3
2017-10-01,12091,10051.6
2018-01-01,9051,8079.9
2018-04-01,10892.4,8594.4
2018-07-01,12130.5,8760.3
2018-10-01,12393.9,10171.8
2019-01-01,9512.4,8331.3
2019-04-01,11364.4,9035
2019-07-01,12546.1,9242.9
2019-10-01,12840.6,10814.9
2020-01-01,9431.7,8468.9
2020-04-01,10351.3,8876.8
2020-07-01,12288.9,9641.2
2020-10-01,12360.2,10963.2
2021-01-01,9780,8863.6
2021-04-01,11082.7,9438.2
2021-07-01,13341.7,10420
2021-10-01,13620,11761.7
2022-01-01,10209.5,9374
2022-04-01,11514.4,9861.8
